Master_CDF,feeder_voltage,feeder_max_hc,feeder_min_hc,feeder_dg_connected_since_refresh,hca_refresh_date,color,shape_length
36_01_3773,4.16,2.16,0.3,0,2022/10/01 00:00:00+00,light blue,0.045638781
36_01_3861,4.16,1.79,0.4,0,2022/10/01 00:00:00+00,turquoise,0.046597612
36_01_3862,4.16,1.71,0.4,0,2022/10/01 00:00:00+00,turquoise,0.027981519
36_01_3863,4.16,1.79,0.4,0,2022/10/01 00:00:00+00,turquoise,0.049063147
36_01_3864,4.16,1.64,0.3,0,2022/10/01 00:00:00+00,turquoise,0.03320762
36_01_3866,4.16,1.61,0.5,0,2022/10/01 00:00:00+00,turquoise,0.026051282
36_01_3867,4.16,1.68,0.4,0,2022/10/01 00:00:00+00,turquoise,0.027268455
36_01_3868,4.16,1.44,0.5,0,2022/10/01 00:00:00+00,green,0.008489231
36_01_3869,4.16,2.16,0.4,0,2022/10/01 00:00:00+00,light blue,0.069357867
36_01_3871,4.16,1.65,0.1,0,2022/10/01 00:00:00+00,turquoise,0.086234788
36_01_3872,4.16,1.51,0.4,0,2022/10/01 00:00:00+00,turquoise,0.044092216
36_01_3873,4.16,1.58,0.7,0,2022/10/01 00:00:00+00,turquoise,0.017756212
36_01_3961,4.16,2.05,0.4,0,2022/10/01 00:00:00+00,light blue,0.054435038
36_01_3962,4.16,2.04,0.4,0,2022/10/01 00:00:00+00,light blue,0.049306008
36_01_3963,4.16,2.05,0.6,0,2022/10/01 00:00:00+00,light blue,0.060913933
36_01_3964,4.16,2.1,0.3,0,2022/10/01 00:00:00+00,light blue,0.04624969
36_01_3965,4.16,1.93,0.4,0,2022/10/01 00:00:00+00,turquoise,0.048686766
36_01_3966,4.16,2.11,0.4,0,2022/10/01 00:00:00+00,light blue,0.03550357
36_01_3967,4.16,1.96,0.3,0,2022/10/01 00:00:00+00,turquoise,0.044652308
36_01_3968,4.16,1.93,0.4,0,2022/10/01 00:00:00+00,turquoise,0.044456829
36_01_3969,4.16,1.95,0.4,0,2022/10/01 00:00:00+00,turquoise,0.036832559
36_01_3971,4.16,1.99,0.4,0,2022/10/01 00:00:00+00,turquoise,0.073819179
36_01_3972,4.16,1.97,0.4,0,2022/10/01 00:00:00+00,turquoise,0.037920974
36_01_3973,4.16,2,0.7,0,2022/10/01 00:00:00+00,light blue,0.05549355
36_01_4061,4.16,3.24,0.4,0,2022/10/01 00:00:00+00,blue,0.046376949
36_01_4062,4.16,1.82,0.4,0,2022/10/01 00:00:00+00,turquoise,0.045956112
36_01_4063,4.16,2.86,0.5,0,2022/10/01 00:00:00+00,light blue,0.043999109
36_01_4064,4.16,3.07,0.4,0,2022/10/01 00:00:00+00,blue,0.038361913
36_01_4065,4.16,3.02,0.4,0,2022/10/01 00:00:00+00,blue,0.044575463
36_01_4066,4.16,1.92,0.3,0,2022/10/01 00:00:00+00,turquoise,0.030553115
36_01_4067,4.16,1.92,0.2,0,2022/10/01 00:00:00+00,turquoise,0.034998693
36_01_4068,4.16,2,1,0,2022/10/01 00:00:00+00,light blue,0.024634101
36_01_4069,4.16,2.73,0.1,0,2022/10/01 00:00:00+00,light blue,0.034678888
36_01_4071,4.16,2.04,0.4,0,2022/10/01 00:00:00+00,light blue,0.069718788
36_01_4072,4.16,2.85,0.9,0,2022/10/01 00:00:00+00,light blue,0.030392542
36_01_4073,4.16,3.06,0.4,0,2022/10/01 00:00:00+00,blue,0.060501807
36_01_4074,4.16,2.79,0.4,0,2022/10/01 00:00:00+00,light blue,0.059129125
36_01_4075,4.16,3.02,0.4,0,2022/10/01 00:00:00+00,blue,0.079306867
36_01_4076,4.16,2.03,0.5,0,2022/10/01 00:00:00+00,light blue,0.02282109
36_01_4161,4.16,1.9,0.2,0,2022/10/01 00:00:00+00,turquoise,0.053471289
36_01_4162,4.16,1.86,0.4,0,2022/10/01 00:00:00+00,turquoise,0.049869627
36_01_4163,4.16,1.96,0.4,0,2022/10/01 00:00:00+00,turquoise,0.030618854
36_01_4165,4.16,0.9,0.78,0,2022/10/01 00:00:00+00,yellow,0.010175194
36_01_4166,4.16,1.82,0.4,0,2022/10/01 00:00:00+00,turquoise,0.017543544
36_01_4167,4.16,1.79,0.5,0.02,2022/10/01 00:00:00+00,turquoise,0.033270705
36_01_4168,4.16,1.72,0.4,0,2022/10/01 00:00:00+00,turquoise,0.035902072
36_01_4169,4.16,1.78,0.4,0,2022/10/01 00:00:00+00,turquoise,0.028082727
36_01_4171,4.16,1.8,0.4,0,2022/10/01 00:00:00+00,turquoise,0.075210426
36_01_4172,4.16,1.75,0.4,0,2022/10/01 00:00:00+00,turquoise,0.027240895
36_01_4173,4.16,0.9,0.2,0,2022/10/01 00:00:00+00,yellow,0.02073334
36_01_4361,4.16,2.52,0.3,0,2022/10/01 00:00:00+00,light blue,0.054215461
36_01_4363,4.16,2.52,0.4,0,2022/10/01 00:00:00+00,light blue,0.082966691
36_01_4364,4.16,2.52,0.4,0,2022/10/01 00:00:00+00,light blue,0.045683077
36_01_4365,4.16,2.52,0.1,0,2022/10/01 00:00:00+00,light blue,0.064956497
36_01_4366,4.16,2.52,0.7,0,2022/10/01 00:00:00+00,light blue,0.043784081
36_01_4368,4.16,2.52,0.4,0,2022/10/01 00:00:00+00,light blue,0.064819938
36_01_4369,4.16,2.52,2.52,0,2022/10/01 00:00:00+00,light blue,0.007491068
36_01_4371,4.16,2.52,0.8,0,2022/10/01 00:00:00+00,light blue,0.04160034
36_01_4372,4.16,2.52,0.4,0,2022/10/01 00:00:00+00,light blue,0.054206149
36_01_4461,4.16,2.16,0.4,0,2022/10/01 00:00:00+00,light blue,0.054741769
36_01_4462,4.16,1.73,0.4,0.26,2022/10/01 00:00:00+00,turquoise,0.066493788
36_01_4464,4.16,1.77,0.5,0,2022/10/01 00:00:00+00,turquoise,0.070898306
36_01_4465,4.16,2.16,0.4,0,2022/10/01 00:00:00+00,light blue,0.069855742
36_01_4466,4.16,2.16,0.2,0,2022/10/01 00:00:00+00,light blue,0.052798492
36_01_4467,4.16,2.52,0.4,0,2022/10/01 00:00:00+00,light blue,0.059603961
36_01_4468,4.16,1.8,0.4,0,2022/10/01 00:00:00+00,turquoise,0.07796497
36_01_4469,4.16,1.8,0.7,0,2022/10/01 00:00:00+00,turquoise,0.039082173
36_01_4471,4.16,1.59,0.4,0,2022/10/01 00:00:00+00,turquoise,0.072534841
36_01_4472,4.16,1.58,0.7,0,2022/10/01 00:00:00+00,turquoise,0.045146835
36_01_4473,4.16,0.1,0,-0.26,2022/10/01 00:00:00+00,brown,0.107553877
36_01_4561,4.16,1.92,0.6,0.01,2022/10/01 00:00:00+00,turquoise,0.048962259
36_01_4562,4.16,1.92,1.3,0,2022/10/01 00:00:00+00,turquoise,0.022334973
36_01_4563,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.067022041
36_01_4564,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.015946264
36_01_4565,4.16,2.16,0.7,0,2022/10/01 00:00:00+00,light blue,0.041732573
36_01_4566,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.143412718
36_01_4567,4.16,1.92,0.3,0,2022/10/01 00:00:00+00,turquoise,0.046495241
36_01_4568,4.16,1.92,0.9,0,2022/10/01 00:00:00+00,turquoise,0.008127783
